ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
10,246,33.2,66.3,0.7,60,0.3,0,0,0,56.0,37.0,38.0,62.0,4.8,0.0,0.06,0,19,0,5,25,52,0.15,9,15,4,2,0.04,0.09,60.000.000,0.02,Bitkisel
11,350,13.21,85.09,1.51,0.1,0.72,0.75,0.1,0,48.0,19.0,30.0,0.0,0,0.0,0,0,0,0,0.02,0,0,2.52,40,0,36,7,4.16,553,0,3.012,Mix
12,29,90.84,6.94,2.6,3.32,1.51,0.09,11,0,28.0,262.0,42.0,33.0,34.4,0.0,0.12,47.6,225,0,7.100.000,0.06,382,0.66,24,154,33,17,0.25,54,2.3,223,Bitkisel
13,320,42.86,31,0.8,29,6.3,19,8.5,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
14,208.95,62.35,08.06,3.27,2.26,12.46,15.13,6.65,53.67,263.51,392.86,33.69,4880.79,22.42,2.49,3.3,10.47,0.35,1.31,0.09,0.21,3.93,1.84,29.04,0.39,129.26,29.94,03.03,0.1,13.35,0.25,Hayvansal
15,225.67,51.87,25.64,2.32,3.43,11.42,8.66,0.4,17.95,527.28,216.75,73.85,2224.62,1.78,0.0,0.18,13.04,0.15,0.66,0.24,0.2,0,2.54,49.98,0.1,119.85,31.09,1.68,0.13,16.65,0.62,Mix
16,395,3.86,764.000.000,4.8,5.6,12,6.4,3.2,0,0.0,0.0,330.0,1326.0,17.8,0.0,1.7,0,0.53,0.42,68.999.999,0.44,16.9,11.9,Mikrogram,4.3,0,0,0,0,0,0,Mix
17,153,705.400.000,16.48,0.9,0.73,4.3,7.71,4.696,22,260.0,39.0,43.0,75.0,0.1,8.0,0.21,0.6,33,0.06,146,106,892,0.7,39,0,56,12,0.37,57,14.7,0,Hayvansal
18,376,39.28,03.06,0,0,25.18,29.2,18.584,93,690.0,93.0,673.0,1054.0,0,0.0,0,0,74,0.27,31,0.45,0.18,0.64,18,0.19,490,22,2.94,24,14.5,21,Hayvansal
19,263,45,27.81,1.1,6.22,12.97,11.79,4.435,35,626.0,200.0,167.0,243.0,60.000.000,0.0,0,0,0,0.86,223,0.26,4.026,2.35,59,0,140,20,1.91,97,0,0.23,Mix
